Name,Nationality,URL,Rank speed,Rank lead,Rank bouldering
Akiyo Noguchi,JPN,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=2253,34,5,4
Alannah Yip,CAN,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=1565,41,54,19
Aleksandra Miroslaw,POL,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=2848,3,151,101
Anouck Jaubert,FRA,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=479,2,101,68
Brooke Raboutou,USA,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=1811,30,30,6
Chaehyun Seo,KOR,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=2080,73,1,29
Erin Sterkenburg,RSA,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=1103,59,-,83
Iuliia Kaplina,RUS,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=110,23,122,-
Janja Garnbret,SLO,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=1147,28,1,1
Jessica Pilz,AUT,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=1226,68,6,18
Julia Chanourdie,FRA,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=466,42,13,46
Kyra Condie,USA,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=1750,33,35,15
Laura Rogora,ITA,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=928,50,9,24
Mia Krampl,SLO,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=1161,81,4,23
Miho Nonaka,JPN,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=2294,14,25,3
Oceania Mackenzie,AUS,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=2501,39,70,60
Petra Klingler,SUI,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=3246,44,44,11
Shauna Coxsey,GBR,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=636,64,34,9
Viktoriia Meshkova,RUS,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=147,61,36,41
Yiling Song,CHN,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=2970,1,111,116
